"id","name","code","user_type_id/id","chart_template_id/id","reconcile"
"l10n_sv_0001","CUENTAS POR COBRAR BDS","0001","account.data_account_type_receivable","l10n_sv.sv_coa","True"
"l10n_sv_0002","CUENTAS POR PAGAR BDS","0002","account.data_account_type_payable","l10n_sv.sv_coa","True"
"l10n_sv_0003","IVA CREDITO FISCAL BDS","0003","account.data_account_type_current_assets","l10n_sv.sv_coa","True"
"l10n_sv_0004","IVA DEBITO FISCAL BDS","0004","account.data_account_type_current_assets","l10n_sv.sv_coa","True"
"l10n_sv_0005","CESC 5% BDS","0005","account.data_account_type_current_assets","l10n_sv.sv_coa","True"
"l10n_sv_0006","EXPORTACION 0% BDS","0006","account.data_account_type_current_assets","l10n_sv.sv_coa","True"
"l10n_sv_0007","RETENCION DE IVA 1% BDS","0007","account.data_account_type_current_assets","l10n_sv.sv_coa","True"
"l10n_sv_0008","PERCEPCION DE IVA 1% BDS","0008","account.data_account_type_current_liabilities","l10n_sv.sv_coa","False"
"l10n_sv_0009","INGRESOS BDS","0009","account.data_account_type_revenue","l10n_sv.sv_coa","False"
"l10n_sv_0010","GASTOS BDS","0010","account.data_account_type_expenses","l10n_sv.sv_coa","False"
"l10n_sv_0011","RENTA 10% BDS","0011","account.data_account_type_payable","l10n_sv.sv_coa","True"
