'codigo_DEPARTAMENTO','codigo_MUNICIPIO','nombre_MUNICIPIO',,
'01','01','AHUACHAPAN','l10n_sv_dpto','l10n_sv_dpto.01'
'01','02','APANECA','l10n_sv_dpto','l10n_sv_dpto.01'
'01','03','ATIQUIZAYA','l10n_sv_dpto','l10n_sv_dpto.01'
'01','04','CONCEPCION DE ATACO','l10n_sv_dpto','l10n_sv_dpto.01'
'01','05','EL REFUGIO','l10n_sv_dpto','l10n_sv_dpto.01'
'01','06','GUAYMANGO','l10n_sv_dpto','l10n_sv_dpto.01'
'01','07','JUJUTLA','l10n_sv_dpto','l10n_sv_dpto.01'
'01','08','SAN FRANCISCO MENENDEZ','l10n_sv_dpto','l10n_sv_dpto.01'
'01','09','SAN LORENZO','l10n_sv_dpto','l10n_sv_dpto.01'
'01','10','SAN PEDRO PUXTLA','l10n_sv_dpto','l10n_sv_dpto.01'
'01','11','TACUBA','l10n_sv_dpto','l10n_sv_dpto.01'
'01','12','TURIN','l10n_sv_dpto','l10n_sv_dpto.01'
'02','01','CANDELARIA DE LA FRONTERA','l10n_sv_dpto','l10n_sv_dpto.02'
'02','02','COATEPEQUE','l10n_sv_dpto','l10n_sv_dpto.02'
'02','03','CHALCHUAPA','l10n_sv_dpto','l10n_sv_dpto.02'
'02','04','EL CONGO','l10n_sv_dpto','l10n_sv_dpto.02'
'02','05','EL PORVENIR','l10n_sv_dpto','l10n_sv_dpto.02'
'02','06','MASAHUAT','l10n_sv_dpto','l10n_sv_dpto.02'
'02','07','METAPAN','l10n_sv_dpto','l10n_sv_dpto.02'
'02','08','SAN ANTONIO PAJONAL','l10n_sv_dpto','l10n_sv_dpto.02'
'02','09','SAN SEBASTIAN SALITRILLO','l10n_sv_dpto','l10n_sv_dpto.02'
'02','10','SANTA ANA','l10n_sv_dpto','l10n_sv_dpto.02'
'02','11','STA ROSA GUACHI','l10n_sv_dpto','l10n_sv_dpto.02'
'02','12','STGO D LA FRONT','l10n_sv_dpto','l10n_sv_dpto.02'
'02','13','TEXISTEPEQUE','l10n_sv_dpto','l10n_sv_dpto.02'
