"id","code","name","dpto_id/id"
"dpto_01","01","Ahuachapan","l10n_sv_dpto.01"
"dpto_02","02","Apaneca","l10n_sv_dpto.01"
"dpto_03","03","Atiquizaya","l10n_sv_dpto.01"
"dpto_04","04","Concepcion De Ataco","l10n_sv_dpto.01"
"dpto_05","05","El Refugio","l10n_sv_dpto.01"
"dpto_06","06","Guaymango","l10n_sv_dpto.01"
"dpto_07","07","Jujutla","l10n_sv_dpto.01"
"dpto_08","08","San Francisco Menendez","l10n_sv_dpto.01"
"dpto_09","09","San Lorenzo","l10n_sv_dpto.01"
"dpto_10","10","San Pedro Puxtla","l10n_sv_dpto.01"
"dpto_11","11","Tacuba","l10n_sv_dpto.01"
"dpto_12","12","Turin","l10n_sv_dpto.01"
"dpto_13","01","Candelaria De La Frontera","l10n_sv_dpto.02"
"dpto_14","02","Coatepeque","l10n_sv_dpto.02"
"dpto_15","03","Chalchuapa","l10n_sv_dpto.02"
"dpto_16","04","El Congo","l10n_sv_dpto.02"
"dpto_17","05","El Porvenir","l10n_sv_dpto.02"
"dpto_18","06","Masahuat","l10n_sv_dpto.02"
"dpto_19","07","Metapan","l10n_sv_dpto.02"
"dpto_20","08","San Antonio Pajonal","l10n_sv_dpto.02"
"dpto_21","09","San Sebastian Salitrillo","l10n_sv_dpto.02"
"dpto_22","10","Santa Ana","l10n_sv_dpto.02"
"dpto_23","11","Sta Rosa Guachi","l10n_sv_dpto.02"
"dpto_24","12","Stgo D La Front","l10n_sv_dpto.02"
"dpto_25","13","Texistepeque","l10n_sv_dpto.02"
"dpto_26","01","Acajutla","l10n_sv_dpto.03"
"dpto_27","02","Armenia","l10n_sv_dpto.03"
"dpto_28","03","Caluco","l10n_sv_dpto.03"
"dpto_29","04","Cuisnahuat","l10n_sv_dpto.03"
"dpto_30","05","Sta I Ishuatan","l10n_sv_dpto.03"
"dpto_31","06","Izalco","l10n_sv_dpto.03"
"dpto_32","07","Juayua","l10n_sv_dpto.03"
"dpto_33","08","Nahuizalco","l10n_sv_dpto.03"
"dpto_34","09","Nahulingo","l10n_sv_dpto.03"
"dpto_35","10","Salcoatitan","l10n_sv_dpto.03"
"dpto_36","11","San Antonio Del Monte","l10n_sv_dpto.03"
"dpto_37","12","San Julian","l10n_sv_dpto.03"
"dpto_38","13","Sta C Masahuat","l10n_sv_dpto.03"
"dpto_39","14","Santo Domingo Guzman","l10n_sv_dpto.03"
"dpto_40","15","Sonsonate","l10n_sv_dpto.03"
"dpto_41","16","Sonzacate","l10n_sv_dpto.03"
"dpto_42","01","Agua Caliente","l10n_sv_dpto.04"
"dpto_43","02","Arcatao","l10n_sv_dpto.04"
"dpto_44","03","Azacualpa","l10n_sv_dpto.04"
"dpto_45","04","Citala","l10n_sv_dpto.04"
"dpto_46","05","Comalapa","l10n_sv_dpto.04"
"dpto_47","06","Concepcion Quezaltepeque","l10n_sv_dpto.04"
"dpto_48","07","Chalatenango","l10n_sv_dpto.04"
"dpto_49","08","Dulce Nom Maria","l10n_sv_dpto.04"
"dpto_50","09","El Carrizal","l10n_sv_dpto.04"
"dpto_51","10","El Paraiso","l10n_sv_dpto.04"
"dpto_52","11","La Laguna","l10n_sv_dpto.04"
"dpto_53","12","La Palma","l10n_sv_dpto.04"
"dpto_54","13","La Reina","l10n_sv_dpto.04"
"dpto_55","14","Las Vueltas","l10n_sv_dpto.04"
"dpto_56","15","Nombre De Jesus","l10n_sv_dpto.04"
"dpto_57","16","Nva Concepcion","l10n_sv_dpto.04"
"dpto_58","17","Nueva Trinidad","l10n_sv_dpto.04"
"dpto_59","18","Ojos De Agua","l10n_sv_dpto.04"
"dpto_60","19","Potonico","l10n_sv_dpto.04"
"dpto_61","20","San Ant La Cruz","l10n_sv_dpto.04"
"dpto_62","21","San Ant Ranchos","l10n_sv_dpto.04"
"dpto_63","22","San Fernando","l10n_sv_dpto.04"
"dpto_64","23","San Francisco Lempa","l10n_sv_dpto.04"
"dpto_65","24","San Francisco Morazan","l10n_sv_dpto.04"
"dpto_66","25","San Ignacio","l10n_sv_dpto.04"
"dpto_67","26","San I Labrador","l10n_sv_dpto.04"
"dpto_68","27","San J Cancasque","l10n_sv_dpto.04"
"dpto_69","28","San Jose Flores","l10n_sv_dpto.04"
"dpto_70","29","San Luis Carmen","l10n_sv_dpto.04"
"dpto_71","30","Sn Mig Mercedes","l10n_sv_dpto.04"
"dpto_72","31","San Rafael","l10n_sv_dpto.04"
"dpto_73","32","Santa Rita","l10n_sv_dpto.04"
"dpto_74","33","Tejutla","l10n_sv_dpto.04"
"dpto_75","01","Antgo Cuscatlan","l10n_sv_dpto.05"
"dpto_76","02","Ciudad Arce","l10n_sv_dpto.05"
"dpto_77","03","Colon","l10n_sv_dpto.05"
"dpto_78","04","Comasagua","l10n_sv_dpto.05"
"dpto_79","05","Chiltiupan","l10n_sv_dpto.05"
"dpto_80","06","Huizucar","l10n_sv_dpto.05"
"dpto_81","07","Jayaque","l10n_sv_dpto.05"
"dpto_82","08","Jicalapa","l10n_sv_dpto.05"
"dpto_83","09","La Libertad","l10n_sv_dpto.05"
"dpto_84","10","Nuevo Cuscatlan","l10n_sv_dpto.05"
"dpto_85","11","Santa Tecla","l10n_sv_dpto.05"
"dpto_86","12","Quezaltepeque","l10n_sv_dpto.05"
"dpto_87","13","Sacacoyo","l10n_sv_dpto.05"
"dpto_88","14","Sn J Villanueva","l10n_sv_dpto.05"
"dpto_89","15","San Juan Opico","l10n_sv_dpto.05"
"dpto_90","16","San Matias","l10n_sv_dpto.05"
"dpto_91","17","San P Tacachico","l10n_sv_dpto.05"
"dpto_92","18","Tamanique","l10n_sv_dpto.05"
"dpto_93","19","Talnique","l10n_sv_dpto.05"
"dpto_94","20","Teotepeque","l10n_sv_dpto.05"
"dpto_95","21","Tepecoyo","l10n_sv_dpto.05"
"dpto_96","22","Zaragoza","l10n_sv_dpto.05"
"dpto_97","01","Aguilares","l10n_sv_dpto.06"
"dpto_98","02","Apopa","l10n_sv_dpto.06"
"dpto_99","03","Ayutuxtepeque","l10n_sv_dpto.06"
"dpto_100","04","Cuscatancingo","l10n_sv_dpto.06"
"dpto_101","05","El Paisnal","l10n_sv_dpto.06"
"dpto_102","06","Guazapa","l10n_sv_dpto.06"
"dpto_103","07","Ilopango","l10n_sv_dpto.06"
"dpto_104","08","Mejicanos","l10n_sv_dpto.06"
"dpto_105","09","Nejapa","l10n_sv_dpto.06"
"dpto_106","10","Panchimalco","l10n_sv_dpto.06"
"dpto_107","11","Rosario De Mora","l10n_sv_dpto.06"
"dpto_108","12","San Marcos","l10n_sv_dpto.06"
"dpto_109","13","San Martin","l10n_sv_dpto.06"
"dpto_110","14","San Salvador","l10n_sv_dpto.06"
"dpto_111","15","Stg Texacuangos","l10n_sv_dpto.06"
"dpto_112","16","Santo Tomas","l10n_sv_dpto.06"
"dpto_113","17","Soyapango","l10n_sv_dpto.06"
"dpto_114","18","Tonacatepeque","l10n_sv_dpto.06"
"dpto_115","19","Ciudad Delgado","l10n_sv_dpto.06"
"dpto_116","01","Candelaria","l10n_sv_dpto.07"
"dpto_117","02","Cojutepeque","l10n_sv_dpto.07"
"dpto_118","03","El Carmen","l10n_sv_dpto.07"
"dpto_119","04","El Rosario","l10n_sv_dpto.07"
"dpto_120","05","Monte San Juan","l10n_sv_dpto.07"
"dpto_121","06","Orat Concepcion","l10n_sv_dpto.07"
"dpto_122","07","San B Perulapia","l10n_sv_dpto.07"
"dpto_123","08","San Cristobal","l10n_sv_dpto.07"
"dpto_124","09","San J Guayabal","l10n_sv_dpto.07"
"dpto_125","10","San P Perulapan","l10n_sv_dpto.07"
"dpto_126","11","San Raf Cedros","l10n_sv_dpto.07"
"dpto_127","12","San Ramon","l10n_sv_dpto.07"
"dpto_128","13","Sta C Analquito","l10n_sv_dpto.07"
"dpto_129","14","Sta C Michapa","l10n_sv_dpto.07"
"dpto_130","15","Suchitoto","l10n_sv_dpto.07"
"dpto_131","16","Tenancingo","l10n_sv_dpto.07"
"dpto_132","01","Cuyultitan","l10n_sv_dpto.08"
"dpto_133","02","Rosario La Paz","l10n_sv_dpto.08"
"dpto_134","03","Jerusalen","l10n_sv_dpto.08"
"dpto_135","04","Merced La Ceiba","l10n_sv_dpto.08"
"dpto_136","05","Olocuilta","l10n_sv_dpto.08"
"dpto_137","06","Paraiso Osorio","l10n_sv_dpto.08"
"dpto_138","07","Sn Ant Masahuat","l10n_sv_dpto.08"
"dpto_139","08","San Emigdio","l10n_sv_dpto.08"
"dpto_140","09","Sn Fco Chinamec","l10n_sv_dpto.08"
"dpto_141","10","San J Nonualco","l10n_sv_dpto.08"
"dpto_142","11","San Juan Talpa","l10n_sv_dpto.08"
"dpto_143","12","San Juan Tepezontes","l10n_sv_dpto.08"
"dpto_144","13","San Luis Talpa","l10n_sv_dpto.08"
"dpto_145","14","San Miguel Tepezontes","l10n_sv_dpto.08"
"dpto_146","15","San Pedro Masahuat","l10n_sv_dpto.08"
"dpto_147","16","San Pedro Nonualco","l10n_sv_dpto.08"
"dpto_148","17","San R Obrajuelo","l10n_sv_dpto.08"
"dpto_149","18","Sta Ma Ostuma","l10n_sv_dpto.08"
"dpto_150","19","Stgo Nonualco","l10n_sv_dpto.08"
"dpto_151","20","Tapalhuaca","l10n_sv_dpto.08"
"dpto_152","21","Zacatecoluca","l10n_sv_dpto.08"
"dpto_153","22","Sn Luis La Herr","l10n_sv_dpto.08"
"dpto_154","01","Cinquera","l10n_sv_dpto.09"
"dpto_155","02","Guacotecti","l10n_sv_dpto.09"
"dpto_156","03","Ilobasco","l10n_sv_dpto.09"
"dpto_157","04","Jutiapa","l10n_sv_dpto.09"
"dpto_158","05","San Isidro","l10n_sv_dpto.09"
"dpto_159","06","Sensuntepeque","l10n_sv_dpto.09"
"dpto_160","07","Tejutepeque","l10n_sv_dpto.09"
"dpto_161","08","Victoria","l10n_sv_dpto.09"
"dpto_162","09","Dolores","l10n_sv_dpto.09"
"dpto_163","01","Apastepeque","l10n_sv_dpto.10"
"dpto_164","02","Guadalupe","l10n_sv_dpto.10"
"dpto_165","03","San Cay Istepeq","l10n_sv_dpto.10"
"dpto_166","04","Santa Clara","l10n_sv_dpto.10"
"dpto_167","05","Santo Domingo","l10n_sv_dpto.10"
"dpto_168","06","Sn Est Catarina","l10n_sv_dpto.10"
"dpto_169","07","San Ildefonso","l10n_sv_dpto.10"
"dpto_170","08","San Lorenzo","l10n_sv_dpto.10"
"dpto_171","09","San Sebastian","l10n_sv_dpto.10"
"dpto_172","10","San Vicente","l10n_sv_dpto.10"
"dpto_173","11","Tecoluca","l10n_sv_dpto.10"
"dpto_174","12","Tepetitan","l10n_sv_dpto.10"
"dpto_175","13","Verapaz","l10n_sv_dpto.10"
"dpto_176","01","Alegria","l10n_sv_dpto.11"
"dpto_177","02","Berlin","l10n_sv_dpto.11"
"dpto_178","03","California","l10n_sv_dpto.11"
"dpto_179","04","Concep Batres","l10n_sv_dpto.11"
"dpto_180","05","El Triunfo","l10n_sv_dpto.11"
"dpto_181","06","Ereguayquin","l10n_sv_dpto.11"
"dpto_182","07","Estanzuelas","l10n_sv_dpto.11"
"dpto_183","08","Jiquilisco","l10n_sv_dpto.11"
"dpto_184","09","Jucuapa","l10n_sv_dpto.11"
"dpto_185","10","Jucuaran","l10n_sv_dpto.11"
"dpto_186","11","Mercedes Umaña","l10n_sv_dpto.11"
"dpto_187","12","Nueva Granada","l10n_sv_dpto.11"
"dpto_188","13","Ozatlan","l10n_sv_dpto.11"
"dpto_189","14","Pto El Triunfo","l10n_sv_dpto.11"
"dpto_190","15","San Agustin","l10n_sv_dpto.11"
"dpto_191","16","Sn Buenaventura","l10n_sv_dpto.11"
"dpto_192","17","San Dionisio","l10n_sv_dpto.11"
"dpto_193","18","Santa Elena","l10n_sv_dpto.11"
"dpto_194","19","San Fco Javier","l10n_sv_dpto.11"
"dpto_195","20","Santa Maria","l10n_sv_dpto.11"
"dpto_196","21","Stgo De Maria","l10n_sv_dpto.11"
"dpto_197","22","Tecapan","l10n_sv_dpto.11"
"dpto_198","23","Usulutan","l10n_sv_dpto.11"
"dpto_199","01","Carolina","l10n_sv_dpto.12"
"dpto_200","02","Ciudad Barrios","l10n_sv_dpto.12"
"dpto_201","03","Comacaran","l10n_sv_dpto.12"
"dpto_202","04","Chapeltique","l10n_sv_dpto.12"
